dataset;LifeSciences;Government;Media;Publications;Social Networking;Geographic;NumberOfLabels
uniprot.org/tissues;0;0;0;0;1;0;1
ucd.ie;1;0;0;1;0;0;2
goldenline.pl;0;1;0;0;0;1;2
cs.rpi.edu;0;0;0;1;1;0;2
kathryl.fr;1;1;0;1;0;0;3
semanticweb.cs.vu.nl;0;0;0;0;1;0;1
justgiblets.com;0;0;0;0;1;0;1
blognewcomb.com;1;0;0;1;1;0;3
panix.com;1;0;0;1;0;0;2
nuts.geovocab.org;0;0;0;0;1;0;1
brettsinger.net;0;0;0;1;1;0;2
ldodds.com;0;0;0;0;1;0;1
bournemouth.ac.uk;0;0;1;0;0;0;1
kdata.kr;0;0;0;0;0;1;1
ocs.taxonconcept.org;0;0;0;0;1;0;1
opendatacommunities.org/id/wellbeing/life-satisfaction/percentage0-6/;0;0;0;0;1;0;1
cpline.net;0;0;0;1;1;0;2
cheminfov.informatics.indiana.edu:8080/uniprot/;1;0;0;0;0;0;1
rod.eionet.europa.eu;0;0;0;1;1;0;2
dev8d.org;0;0;0;0;1;0;1
keuser.fr;0;0;0;0;1;0;1
eprints.ecs.soton.ac.uk;1;1;1;1;0;1;5
data.fundacionctic.org/dataset-catalog/;1;1;0;1;0;0;3
anjeve.de;0;0;0;1;1;0;2
opendatacommunities.org/data/households/projections/totalhouseolds;0;0;0;1;0;0;1
quasthoffs.de;0;0;0;1;1;0;2
red.gnoss.com/comunidad/prospectivatecnologica/recurso/;0;0;0;1;1;0;2
occams.info;0;0;0;0;1;1;2
bio2rdf.org/eco:;0;0;0;1;1;0;2
datacite.org;0;0;1;0;1;0;2
dbtune.org/bbc/peel/;0;0;0;1;1;0;2
